Notes,State,State Code,Deaths,Population,Crude Rate
,Alabama,1,141,36599481,0.4
,Alaska,2,18,6043119,Unreliable
,Arizona,4,182,52369380,0.3
,Arkansas,5,143,22637088,0.6
,California,6,451,310474023,0.1
,Colorado,8,81,42429231,0.2
,Connecticut,9,51,26151353,0.2
,Delaware,10,16,6843286,Unreliable
,District of Columbia,11,34,5530746,0.6
,Florida,12,580,140380772,0.4
,Georgia,13,469,81398525,0.6
,Hawaii,15,34,10521168,0.3
,Idaho,16,54,13078957,0.4
,Illinois,17,256,100297304,0.3
,Indiana,18,257,51051034,0.5
,Iowa,19,53,23380322,0.2
,Kansas,20,85,22642897,0.4
,Kentucky,21,146,33422480,0.4
,Louisiana,22,220,36215455,0.6
,Maine,23,14,8997734,Unreliable
,Maryland,24,206,45303695,0.5
,Massachusetts,25,70,50110527,0.1
,Michigan,26,260,74064404,0.4
,Minnesota,27,88,41812459,0.2
,Mississippi,28,114,23395959,0.5
,Missouri,29,188,45836874,0.4
,Montana,30,26,7393339,0.4
,Nebraska,31,58,14682656,0.4
,Nevada,32,50,22317255,0.2
,New Hampshire,33,21,9380901,0.2
,New Jersey,34,308,66676028,0.5
,New Mexico,35,74,15953504,0.5
,New York,36,574,149354403,0.4
,North Carolina,37,216,76029564,0.3
,North Dakota,38,24,5618960,0.4
,Ohio,39,326,86666047,0.4
,Oklahoma,40,145,30154634,0.5
,Oregon,41,64,29847176,0.2
,Pennsylvania,42,273,92425822,0.3
,Rhode Island,44,15,7800894,Unreliable
,South Carolina,45,203,36232640,0.6
,South Dakota,46,25,6465815,0.4
,Tennessee,47,199,49682958,0.4
,Texas,48,1022,223590226,0.5
,Utah,49,88,26564707,0.3
,Vermont,50,Suppressed,4368611,Suppressed
,Virginia,51,188,63814924,0.3
,Washington,53,151,54738907,0.3
,West Virginia,54,31,12924543,0.2
,Wisconsin,55,97,42974571,0.2
,Wyoming,56,15,4406866,Unreliable
---,,,,,
"Dataset: Underlying Cause of Death, 1999-2019",,,,,
Query Parameters:,,,,,
